3PGA_AMINOACIDS	Cysteine_synthase	Phosphoserine_Phosphatase	glycine_hydroxymethyltransferase	serine_O_acetyltransferase	Phosphoglycerate_dehydrogenase
666666.100004	2	1	1	1	2
666666.100005	2	1	1	1	2
666666.100006	2	0	0	0	2
666666.100007	2	0	2	0	3
666666.100008	2	0	0	0	2
666666.100010	3	1	2	1	1
666666.100019	2	1	1	1	3
666666.100020	2	0	1	1	1
666666.100023	1	1	1	1	3
666666.100025	2	1	2	1	3
666666.100026	2	1	2	1	3
666666.100027	2	0	2	1	2
666666.100028	3	0	2	1	3
666666.100029	1	0	1	1	2
666666.100030	2	0	1	1	1
666666.100031	2	0	1	1	1
666666.100032	2	0	1	1	1
666666.100040	2	1	1	1	2
666666.100041	2	0	2	1	2
666666.100042	1	1	1	1	1
666666.100044	2	1	1	1	2
